name,abbreviation,location,teamname,division,league,twitter_user,hashtag
San Francisco Giants,SF,San Francisco,Giants,West,National,SFGiants,SFGameUp
Los Angeles Dodgers,LAD,Los Angeles,Dodgers,West,National,Dodgers,AlwaysLA
Colorado Rockies,COL,Denver,Rockies,West,National,Rockies,Rockies
Arizona Diamondbacks,ARI,Phoenix,Diamondbacks,West,National,Dbacks,Dbacks
San Diego Padres,SD,San Diego,Padres,West,National,Padres,TimeToShine
St. Louis Cardinals,STL,St. Louis,Cardinals,Central,National,Cardinals,STLCards
Chicago Cubs,CHC,Chicago,Cubs,Central,National,Cubs,ItsDifferentHere
Pittsburgh Pirates,PIT,Pittsburgh,Pirates,Central,National,Pirates,LetsGoBucs
Milwaukee Brewers,MIL,Milwaukee,Brewers,Central,National,Brewers,ThisIsMyCrew
Cincinnati Reds,CIN,Cincinnati,Reds,Central,National,Reds,ATOBTTR
New York Mets,NYM,Flushing,Mets,East,National,Mets,LGM
Atlanta Braves,ATL,Atlanta,Braves,East,National,Braves,ForTheA
Washington Nationals,WSH,Washington,Nationals,East,National,Nationals,NATITUDE
Philadelphia Phillies,PHI,Philadelphia,Phillies,East,National,Phillies,RingTheBell
Miami Marlins,MIA,Miami,Marlins,East,National,Marlins,MakeItMiami
Oakland Athletics,OAK,Oakland,Athletics,West,American,Athletics,DrumTogether
Los Angeles Angels,LAA,Anaheim,Angels,West,American,Angels,GoHalos
Seattle Mariners,SEA,Seattle,Mariners,West,American,Mariners,SeaUsRise
Houston Astros,HOU,Houston,Astros,West,American,astros,LevelUp
Texas Rangers,TEX,Arlington,Rangers,West,American,Rangers,StraightUpTX
Cleveland Guardians,CLE,Cleveland,Guardians,Central,American,CleGuardians,ForTheLand
Chicago White Sox,CWS,Chicago,White Sox,Central,American,whitesox,ChangeTheGame
Kansas City Royals,KC,Kansas City,Royals,Central,American,Royals,TogetherRoyal
Minnesota Twins,MIN,Minneapolis,Twins,Central,American,Twins,MNTwins
Detroit Tigers,DET,Detroit,Tigers,Central,American,tigers,DetroitRoots
Tampa Bay Rays,TB,St. Petersburg,Rays,East,American,RaysBaseball,RaysUp
Toronto Blue Jays,TOR,Toronto,Blue Jays,East,American,BlueJays,NextLevel
New York Yankees,NYY,Bronx,Yankees,East,American,Yankees,RepBX
Boston Red Sox,BOS,Boston,Red Sox,East,American,RedSox,DirtyWater
Baltimore Orioles,BAL,Baltimore,Orioles,East,American,Orioles,Birdland